OTU,Domain,Phylum,Class,Order,Family,Genus
DENOVO13742,Bacteria,Planctomycetes,BD7-11,uncultured bacterium,uncultured bacterium,uncultured bacterium
DENOVO13743,Unclassified,,,,,
DENOVO13744,Bacteria,Bacteroidetes,Rhodothermia,Rhodothermales,Rhodothermaceae,uncultured
DENOVO13745,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured
DENOVO13746,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,uncultured
DENOVO13747,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade
DENOVO13748,Bacteria,Proteobacteria,Deltaproteobacteria,,,
DENOVO13749,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Halobacteriovorax
DENOVO13750,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,uncultured
DENOVO13751,Bacteria,Planctomycetes,OM190,,,
DENOVO13752,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,
DENOVO13753,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10
DENOVO13754,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group
DENOVO13755,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus
DENOVO13756,Unclassified,,,,,
DENOVO13757,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured
DENOVO13758,Bacteria,Planctomycetes,BD7-11,uncultured bacterium,uncultured bacterium,uncultured bacterium
DENOVO13759,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
DENOVO13760,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,
DENOVO13761,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,Ambiguous_taxa
DENOVO13762,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
DENOVO13763,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
DENOVO13764,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,
DENOVO13765,Unclassified,,,,,
DENOVO13766,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus
DENOVO13767,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
DENOVO13768,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
DENOVO13769,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,,
DENOVO13770,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Kiloniella
DENOVO13771,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,EF100-94H03,uncultured alpha proteobacterium
DENOVO13772,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,uncultured organism
DENOVO13773,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,
DENOVO13774,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Sedimenticola
DENOVO13775,Unclassified,,,,,
DENOVO13776,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula
DENOVO13777,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
DENOVO13778,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
DENOVO13779,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,Oligoflexus
DENOVO13780,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
DENOVO13781,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,uncultured
DENOVO13782,Unclassified,,,,,
DENOVO13783,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO13784,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax
DENOVO13785,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Xenococcaceae,Pleurocapsa PCC-7319
DENOVO13786,Bacteria,Dependentiae,Babeliae,Babeliales,uncultured bacterium,uncultured bacterium
DENOVO13787,Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,uncultured bacterium,uncultured bacterium
DENOVO13788,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Ambiguous_taxa,Ambiguous_taxa
DENOVO13789,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,AAP99
DENOVO13790,Unclassified,,,,,
DENOVO13791,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,Demequina
DENOVO13792,Unclassified,,,,,
